cellname;cell_class
132_K5;LPS
132_K6;LPS
132_K7;PTG_3h
132_K8;PTG_3h
132_K9;PTG_3h
132_K10;PTG_3h
132_K11;PTG_3h
132_K12;PTG_3h
132_K13;PTG_12h
132_K14;PTG_12h
132_K15;PTG_12h
132_K16;PTG_12h
132_K17;PTG_12h
132_K18;PTG_12h
132_K19;PTG_3h_lys
132_K20;PTG_3h_lys
132_K21;PTG_3h_lys
132_K22;PTG_3h_lys
132_K23;PTG_3h_lys
132_K24;PTG_3h_lys
132_L1;LPS
132_L2;LPS
132_L3;LPS
132_L4;LPS
132_L5;LPS
132_L6;LPS
132_L7;PTG_3h
132_L8;PTG_3h
132_L9;PTG_3h
132_L10;PTG_3h
132_L11;PTG_3h
132_L12;PTG_3h
132_L13;PTG_12h
132_L14;PTG_12h
132_L15;PTG_12h
132_L16;PTG_12h
132_L17;PTG_12h
132_L18;PTG_12h
132_L19;PTG_3h_lys
132_L20;PTG_3h_lys
132_L21;PTG_3h_lys
132_L22;PTG_3h_lys
132_L23;PTG_3h_lys
132_L24;PTG_3h_lys
132_M1;LPS
132_M2;LPS
132_M3;LPS
132_M4;LPS
132_M5;LPS
132_M6;LPS
132_M7;PTG_3h
132_M8;PTG_3h
132_M9;PTG_3h
132_M10;PTG_3h
132_M11;PTG_3h
132_M12;PTG_3h
132_M13;PTG_12h
132_M14;PTG_12h
132_M15;PTG_12h
132_M16;PTG_12h
132_M17;PTG_12h
132_M18;PTG_12h
132_M19;PTG_3h_lys
132_M20;PTG_3h_lys
132_M21;PTG_3h_lys
132_M22;PTG_3h_lys
132_M23;PTG_3h_lys
132_M24;PTG_3h_lys
132_N1;LPS
132_N2;LPS
132_N3;LPS
132_N4;LPS
132_N5;LPS
132_N6;LPS
132_N7;PTG_3h
132_N8;PTG_3h
132_N9;PTG_3h
132_N10;PTG_3h
132_N11;PTG_3h
132_N12;PTG_3h
132_N13;PTG_12h
132_N14;PTG_12h
132_N15;PTG_12h
132_N16;PTG_12h
132_N17;PTG_12h
132_N18;PTG_12h
132_N19;PTG_3h_lys
132_N20;PTG_3h_lys
132_N21;PTG_3h_lys
132_N22;PTG_3h_lys
132_N23;PTG_3h_lys
132_N24;PTG_3h_lys
132_O1;LPS
132_O2;LPS
132_O3;LPS
132_O4;LPS
132_O5;LPS
132_O6;LPS
132_O7;PTG_3h
132_O8;PTG_3h
132_O9;PTG_3h
132_O10;PTG_3h
132_O11;PTG_3h
132_O12;PTG_3h
132_O13;PTG_12h
132_O14;PTG_12h
132_O15;PTG_12h
132_O16;PTG_12h
132_O17;PTG_12h
132_O18;PTG_12h
132_O19;PTG_3h_lys
132_O20;PTG_3h_lys
132_O21;PTG_3h_lys
132_O22;PTG_3h_lys
132_O23;PTG_3h_lys
132_O24;PTG_3h_lys
132_P1;LPS
132_P2;LPS
132_P3;LPS
132_P4;LPS
132_P5;LPS
132_P6;LPS
132_P7;PTG_3h
132_P8;PTG_3h
132_P9;PTG_3h
132_P10;PTG_3h
132_P11;PTG_3h
132_P12;PTG_3h
132_P13;PTG_12h
132_P14;PTG_12h
132_P15;PTG_12h
132_P16;PTG_12h
132_P17;PTG_12h
132_P18;PTG_12h
132_P19;PTG_3h_lys
132_P20;PTG_3h_lys
132_P21;PTG_3h_lys
132_P22;PTG_3h_lys
132_P23;PTG_3h_lys
132_P24;PTG_3h_lys
