"","cellname","celltype"
"515","132_A15","PTG_12h"
"516","132_A14","PTG_12h"
"517","132_P13","PTG_12h"
"518","132_J18","PTG_12h"
"519","132_H18","PTG_12h"
"520","132_H16","PTG_12h"
"521","132_H17","PTG_12h"
"522","132_A4","LPS"
"523","132_O5","LPS"
"524","132_P6","LPS"
"525","132_P5","LPS"
"526","132_P4","LPS"
"527","132_O4","LPS"
"528","132_N5","LPS"
"529","132_O2","LPS"
"530","132_G1","LPS"
"531","132_F3","LPS"
"532","132_A1","LPS"
"533","132_A6","LPS"
"534","132_H3","LPS"
"535","132_L2","LPS"
"536","132_B3","LPS"
"537","132_D5","LPS"
"538","132_D6","LPS"
"539","132_J5","LPS"
"540","132_J3","LPS"
"541","132_J2","LPS"
"542","132_H1","LPS"
"543","132_I6","LPS"
"544","132_D4","LPS"
"545","132_I5","LPS"
"546","132_I3","LPS"
"547","132_I1","LPS"
"548","132_E1","LPS"
"549","132_E2","LPS"
"550","132_E3","LPS"
"551","132_E6","LPS"
"552","132_H5","LPS"
"553","132_I4","LPS"
"554","132_D1","LPS"
"555","132_K1","LPS"
"556","132_K3","LPS"
"557","132_B4","LPS"
"558","132_B5","LPS"
"559","132_B6","LPS"
"560","132_M5","LPS"
"561","132_M3","LPS"
"562","132_F2","LPS"
"563","132_F1","LPS"
"564","132_G4","LPS"
"565","132_G5","LPS"
"566","132_G6","LPS"
"567","132_L5","LPS"
"568","132_L3","LPS"
"569","132_H2","LPS"
"570","132_C1","LPS"
"571","132_C4","LPS"
"572","132_C6","LPS"
"573","132_K4","LPS"
"574","132_B1","LPS"
"575","132_K5","LPS"
