"gene","baseMean","log2FoldChange","pvalue","padj","avg_cpm"
"Psme2",141.900571848466,1.08854056625048,6.9267023457596e-06,0.000437197153941179,860.061630616503
"Ccl3",1197.45065616474,1.06328126665622,1.08967588337831e-07,1.24385342857971e-05,7147.4273003948
"Mtpn",107.139893617843,1.04041952718057,2.09347588030235e-06,0.00016044997282603,651.866910637417
"Tnfaip3",154.58156190895,1.03201259592941,7.42408960804743e-06,0.000460051569182343,930.663426384441
"Cebpb",132.266698111342,1.02601699452391,2.04017799264725e-07,2.04105167220427e-05,804.161835937713
"Pnp",364.520643340197,1.02064076669033,2.52132522915445e-06,0.000185300134991967,2204.48384935312
"Alas1",105.916630735964,1.00440220520113,2.28496253578254e-08,3.22600631696666e-06,658.479270035992
"Slc3a2",152.326265206071,0.939273295147851,3.4535599018063e-08,4.6320872182977e-06,925.933181751393
"Hvcn1",88.0214386650186,0.911498058884621,8.98465388292741e-06,0.000535585200910062,543.089220877727
"Prdx1",2062.80977539396,0.867761087723789,6.82218818707727e-13,1.83005198118348e-10,12641.1777284977
"Ldha",268.660792410452,0.805488472257921,4.73861493630521e-06,0.000302650823015208,1643.20682688779
"Esd",199.071074313452,0.712744796206901,1.99954216381174e-07,2.04105167220427e-05,1216.76953970469
"Hspa5",138.382269015542,0.69674271152975,3.15217267001931e-06,0.000216812902239149,845.491819535883
"Pkm",178.023702590319,0.683363717384761,3.71608834882153e-06,0.000246133506067006,1096.11204448268
"Ccl9",634.377957716092,0.614532540250701,5.77694262137835e-10,1.0331099054565e-07,3862.09118859891
"Tnfrsf1b",259.984859846612,0.611379148042391,1.13223151965235e-05,0.000646215117333494,1581.15015184448
"Txn1",605.588259421989,0.458513059471395,1.27256328111922e-06,0.000101900029898576,3684.986079485
"Ctsb",1466.88225848048,-0.348067879541338,5.27586063451396e-08,6.58255634980637e-06,8968.71203150972
"Lyz1",976.170724388674,-0.381936302480595,4.6841051991212e-07,4.33279730918711e-05,5990.86848291503
"Lyz2",1071.70986067593,-0.482967626261076,2.53730770574892e-07,2.43083140023981e-05,6578.71372046112
"Tyrobp",213.57576732183,-0.518523628495525,6.57961988919639e-07,5.60312074691089e-05,1311.44044988701
"Ctsd",1072.9405226929,-0.520020005565375,3.2629254529225e-12,7.95708866133146e-10,6616.89410160884
"Lpl",449.206085934271,-0.639741742001502,4.7839879802356e-07,4.35018568033288e-05,2765.90916149318
"Apoe",393.911100955322,-0.666585952865886,6.12573437210961e-10,1.06014725504413e-07,2412.14287479492
"Rps11",98.0278842851864,-0.739099707706844,1.77391944556438e-07,1.86609369126527e-05,602.107227139649
"Itm2b",226.96439594531,-0.748898586165446,3.83202296269675e-09,5.71077866524113e-07,1388.84377613938
"Rpl10a",59.5847386344258,-0.802131601395938,8.54601282332841e-06,0.000521015440876783,366.881095988951
"Rps14",64.6730349957474,-0.83858140394048,1.00888624577508e-05,0.000582008033181003,396.290866129855
"Rps24",102.665965899557,-0.870527271994806,1.36254311137481e-07,1.49184567194405e-05,626.469426186569
"Anxa1",241.912112374333,-0.878985218046521,6.24524977091217e-07,5.40415564853933e-05,1471.69104325089
"Rps21",47.6526443230754,-0.898667702036159,1.26531704309467e-05,0.000714571151179251,291.943727427302
"Plin2",155.363963632677,-0.937776206615592,1.58811125662517e-07,1.70404337835881e-05,946.471153896204
"Gpx1",105.03961442165,-0.949583211471606,2.61933473697733e-14,1.00376649027738e-11,650.013123805312
"Cyth4",25.6817955025974,-0.981170573208849,1.54800293731534e-05,0.000863304573555284,159.263202474139
"Calm2",35.8123895534347,-0.992319428767045,2.85841796299972e-06,0.000201781741730177,220.423505797109
"Sepp1",71.1877115873521,-1.11060785539339,6.1334110681901e-08,7.41904322865185e-06,435.700868876516
"Prcp",20.7763549789329,-1.24391274576107,9.42187364946834e-06,0.000555476397026348,127.989856625802
