"ID_REF"	"GSM1525731"	"GSM1525732"	"GSM1525733"	"GSM1525734"	"GSM1525735"	"GSM1525736"
10338042	10.42472795	10.17795903	10.1068186	10.10179868	10.08029685	10.31462347
10338043	1.798385441	1.711699704	1.776254097	1.691202447	1.720887033	1.754617854
10338044	11.94954602	11.82050933	11.77360154	11.87478401	11.83216003	11.85978487
10338045	6.375259733	5.894538621	6.537166933	5.606845163	5.83959816	6.126021893
10338046	2.803430867	2.70635559	2.823350116	2.60207219	2.729933501	2.824934317
10338047	7.838916404	7.766291021	7.928321155	7.527087314	7.75988772	7.735339078
10338048	2.425219746	2.303478194	2.399105148	2.216376378	2.300615676	2.400499247
10338049	6.218591095	6.411140243	6.616380204	5.804842341	6.327456108	6.599686014
10338050	1.953431378	1.750961996	1.816041306	1.787385668	1.780025315	1.844030786
10338051	3.841255388	4.160489957	4.311936914	3.649203493	4.091419214	4.196221114
10338052	2.189453202	2.099232867	2.137679885	2.071126276	2.13570822	2.191099036
10338053	5.780858565	6.086344541	6.345057335	5.511401983	6.032318036	6.248101858
10338054	3.397466873	3.534227418	3.716967903	3.247332105	3.514030564	3.706578138
10338055	5.667359541	5.908823798	6.168743543	5.256927381	5.841012674	6.009693022
10338056	2.60072734	2.668518332	2.67762443	2.488131245	2.608432391	2.654597409
10338057	2.076250547	1.840575943	1.969711496	1.897013821	1.931354445	1.984506662
10338058	1.938506064	1.761289064	1.877827614	1.666179676	1.776154607	1.87426563
10338059	12.89600182	12.90236085	12.85649897	12.95805954	12.88003354	12.87828897
10338060	5.669245056	5.53497769	5.640443127	5.438722359	5.47954822	5.442988552
10338061	4.417258718	4.724983248	4.897676374	4.253861697	4.67395022	4.795083357
10338062	6.220817483	6.478327691	6.771573214	5.911055694	6.427912041	6.618185497
10338064	7.912357774	7.689537507	7.825692453	7.593885358	7.690745948	7.511978029
10338065	7.944253435	7.799153345	7.990087276	7.571357899	7.785880485	7.752626499
10338066	7.303401107	7.066041256	7.249772881	7.009689761	6.996028418	6.872314286
10338067	9.012705686	9.023850323	9.044857717	8.918072616	8.937574307	8.816658793
10338068	5.945987138	6.04031564	6.015985188	8.271009978	8.732481056	8.14449576
10338069	3.846347001	4.280782622	2.535048552	4.448173629	3.999093188	4.100031227
10338070	3.204443571	2.771955739	2.294319604	2.630368609	2.893958748	3.003605675
10338071	2.37923747	2.198080817	2.136171243	1.948710396	2.475410584	2.14268194
10338072	3.116411812	2.906102985	2.819057979	2.636119526	3.063072326	2.9128821
10338073	3.018731901	3.56842834	2.735846318	2.573146961	2.826858538	2.3508821
10338074	8.430239202	8.393541721	8.589523509	7.905378364	7.578790144	7.257272353
10338075	8.669623376	8.058052864	8.719921513	8.668047439	8.607920429	8.620998205
10338076	6.380372072	6.551052582	6.582712953	6.499395045	6.460475537	5.817997302
10338077	8.3308285	8.58187215	8.905127108	8.27355604	8.343117174	8.47470347
10338078	3.915162496	4.418984163	3.959048423	4.896422445	3.835671031	2.521788218
10338079	2.934965846	3.352220206	3.000169058	2.869431267	3.669263756	3.182123678
10338080	3.373685621	3.617403324	3.560245341	3.275654467	2.465383098	3.306738007
10338081	4.725607054	4.602806425	3.999697296	4.488233737	4.63746574	3.800297038
10338082	6.170284265	6.408613337	5.90193975	5.726397098	5.332881899	4.179769085
10338083	4.705576316	2.14739719	2.691944863	4.48407659	3.047250818	2.558683335
10338084	4.97314429	4.253239237	4.37129869	4.301380975	4.093474519	4.284429788
10338085	7.681592545	6.823266224	7.530032514	8.075098813	8.249144439	7.32757148
10338086	5.327161473	7.25465312	6.035329018	6.094770914	5.863741388	4.850708401
10338087	3.858642633	2.793529396	2.49680404	3.088293052	2.214072972	2.881316412
