p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
5.63664526667403e-07;1.46137455142466;0.731;0.4;0.00428215940909226;Tg 5;TGME49-215010
5.77553378856926e-07;1.04757322185331;0.923;0.703;0.00438767301917607;Tg 5;TGME49-285240
6.25350755055262e-07;2.78626416323605;0.5;0.228;0.00475078968615483;Tg 5;TGME49-245485
6.42260957348903e-07;1.78921015921937;0.673;0.493;0.00487925649297961;Tg 5;TGME49-227030
6.9964175461308e-07;1.3289879941257;0.538;0.241;0.00531517840979557;Tg 5;TGME49-271460
8.10258410715642e-07;1.68916672036192;0.519;0.228;0.00615553314620673;Tg 5;TGME49-237210
8.224848924319e-07;1.6401074493797;0.923;0.803;0.00624841772780515;Tg 5;TGME49-262050
8.47959933741621e-07;1.88696194152742;0.462;0.186;0.00644195161663509;Tg 5;TGME49-209200
9.19837829384901e-07;1.6798964617135;0.558;0.276;0.00698800798983709;Tg 5;TGME49-292330
1.05649127220955e-06;1.42439510913133;0.788;0.497;0.00802616419497596;Tg 5;TGME49-295630
1.07570347351315e-06;1.35155189695311;0.558;0.259;0.00817211928827942;Tg 5;TGME49-210820
1.14698455428505e-06;1.39523283470581;0.25;0.055;0.00871364165890355;Tg 5;TGME49-295760
1.16802233092438e-06;1.28954550512658;0.346;0.1;0.0088734656480325;Tg 5;TGME49-288045
1.18377285588692e-06;1.1221901657894;0.808;0.528;0.00899312238617295;Tg 5;TGME49-313370
1.22206746499743e-06;1.76703371254002;0.673;0.414;0.00928404653158548;Tg 5;TGME49-227580
1.42662170227828e-06;1.76369799997676;0.327;0.086;0.0108380450722081;Tg 5;TGME49-285425
1.46073822516534e-06;1.90195717563789;0.423;0.162;0.0110972282965811;Tg 5;TGME49-204880
1.48210117200707e-06;1.19194529592926;0.577;0.293;0.0112595226037377;Tg 5;TGME49-301410
1.69948192873684e-06;1.18660712232138;1;0.917;0.0129109642126138;Tg 5;TGME49-258470
1.72429387671271e-06;1.17243713704005;0.865;0.817;0.0130994605813864;Tg 5;TGME49-301440
1.78613518163144e-06;1.11466220870876;0.346;0.1;0.013569268974854;Tg 5;TGME49-201220
1.91025592921569e-06;1.48440166741607;0.5;0.217;0.0145122142942516;Tg 5;TGME49-202460
2.02722435051088e-06;1.51732038449471;0.808;0.641;0.0154008233908312;Tg 5;TGME49-229000
2.05143209589399e-06;1.72234216441204;0.75;0.579;0.0155847296325067;Tg 5;TGME49-243545
2.06476971415904e-06;1.64236710642219;0.442;0.169;0.0156860555184662;Tg 5;TGME49-264050
2.17950066370586e-06;1.54107007678927;0.75;0.559;0.0165576665421734;Tg 5;TGME49-203790
2.22042002066734e-06;1.49888682570108;0.25;0.055;0.0168685308970098;Tg 5;TGME49-217410
2.44253276597402e-06;1.34940883130947;0.365;0.114;0.0185559214231046;Tg 5;TGME49-221370
2.47394457428164e-06;1.42826829080866;0.462;0.193;0.0187945569308176;Tg 5;TGME49-233760
2.55268131813749e-06;1.2276236811365;0.769;0.528;0.0193927199738905;Tg 5;TGME49-278870
2.60259465553593e-06;1.25248383923692;0.731;0.438;0.0197719115981065;Tg 5;TGME49-234250
2.74475370760191e-06;1.55991920429386;0.346;0.107;0.0208518939166517;Tg 5;TGME49-247960
2.797422052825e-06;1.37331581955842;0.481;0.203;0.0212520153353115;Tg 5;TGME49-266435
3.00036830802225e-06;1.77476234025774;0.731;0.445;0.022793798036045;Tg 5;TGME49-221675
3.05945573077216e-06;1.68415153922934;0.538;0.262;0.0232426851866761;Tg 5;TGME49-221295
3.24087212537e-06;1.61774874669969;0.462;0.193;0.0246209055364359;Tg 5;TGME49-308010
3.33892061947471e-06;1.28037804990108;0.462;0.193;0.0253657799461494;Tg 5;TGME49-217360
3.56230699268634e-06;1.0089655957376;0.25;0.055;0.0270628462234382;Tg 5;TGME49-258700
3.99293139238914e-06;1.12772562255092;0.635;0.348;0.0303342997879803;Tg 5;TGME49-289760
4.73854425376978e-06;1.55898971151737;0.519;0.252;0.035998720695889;Tg 5;TGME49-208530
4.79604570215639e-06;1.32166065674759;0.269;0.069;0.0364355591992821;Tg 5;TGME49-201240
5.22529801441399e-06;1.59434223473315;0.712;0.459;0.0396965890155031;Tg 5;TGME49-244470
5.26059123593282e-06;1.56536944527949;0.577;0.283;0.0399647116193817;Tg 5;TGME49-267300
5.41551970823425e-06;1.8503597674683;0.269;0.072;0.0411417032234556;Tg 5;TGME49-273970
5.99651947717995e-06;1.16182227431436;0.5;0.231;0.045555558468136;Tg 5;TGME49-267760
6.09067463248192e-06;1.31597063959096;0.327;0.1;0.0462708551829652;Tg 5;TGME49-231840
6.22400832845106e-06;2.0790672189634;0.442;0.19;0.0472837912712427;Tg 5;TGME49-209170
1.14629177126573e-27;2.06704852449697;1;0.996;8.70837858630573e-24;Tg 2;TGME49-461480
1.9864760050383e-25;1.84400595369204;1;0.996;1.50912582102759e-21;Tg 2;TGME49-457480
4.47545775269897e-24;1.22489087963297;1;1;3.40000525472541e-20;Tg 2;TGME49-459360
3.67791526963587e-23;1.57594347566195;1;0.993;2.79411223034237e-19;Tg 2;TGME49-461340
1.46075183170895e-22;1.91096127063548;1;0.906;1.10973316654929e-18;Tg 2;TGME49-460890
3.18449267645607e-22;1.72902966171343;1;0.996;2.41925908630368e-18;Tg 2;TGME49-457990
2.71564921314749e-21;1.66827878441724;1;0.978;2.06307870722815e-17;Tg 2;TGME49-460040
4.92153742000828e-21;1.71972719855389;1;0.959;3.73889197798029e-17;Tg 2;TGME49-460730
6.29312812419829e-21;1.47418278334801;1;0.858;4.78088943595344e-17;Tg 2;TGME49-461350
