myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Btg2	0.069	-1.68484610580858	0.862	-2.43071912151111	0.75	1
Add3	0.917	1.44968332471048	0.834	2.09145094341923	1	0.667
Osbp	0.917	1.27355373816444	0.834	1.83734966235544	1	0.222
Cndp2	0.917	0.797416497049606	0.834	1.15042882581652	1	0.889
Ctnna1	0.917	1.74591308110264	0.834	2.51882014392994	1	0.889
Ypel5	0.917	1.52242653544447	0.834	2.1963972128035	1	0.778
Mdc1	0.917	1.38147507468394	0.834	1.99304723935823	1	0.444
Desi1	0.917	0.80551014874699	0.834	1.16210549698301	1	0.889
Asap1	0.917	1.04333309294334	0.834	1.50521147918469	1	0.889
Mtss1	0.917	0.993251773010283	0.834	1.43295940727611	1	0.889
Med30	0.917	1.21008615513123	0.834	1.74578529505622	1	0.667
Dnajc21	0.917	0.976254196641712	0.834	1.40843708814204	1	1
Ptger4	0.917	1.41952000874821	0.834	2.0479344770637	1	0.667
Adam17	0.917	0.724917341556289	0.834	1.04583465371767	1	1
Trappc13	0.917	1.12784192698305	0.834	1.6271319549651	1	0.778
Lpcat1	0.917	1.00458333901983	0.834	1.44930740136359	1	1
Ddx41	0.917	1.42310833424261	0.834	2.05311133645956	1	0.333
Rala	0.917	1.05962684195516	0.834	1.52871839008154	1	0.889
Ddx5	0.917	0.477256162603121	0.834	0.688535099021219	1	1
Mtmr4	0.917	1.49238135701308	0.834	2.15305118287792	1	0.778
Cxcl16	0.917	0.961728444734374	0.834	1.38748085790014	1	0.889
Fbxo9	0.917	1.65490028651086	0.834	2.38751643651494	1	0.333
Icam1	0.917	1.13590807341181	0.834	1.63876894441695	1	0.667
Afg3l1	0.917	1.49690890729766	0.834	2.15958305722085	1	0.778
Hook2	0.917	1.73964346808904	0.834	2.50977500432694	1	0.111
Use1	0.917	0.976254196641712	0.834	1.40843708814204	1	1
Msr1	0.917	1.33478534027265	0.834	1.92568819106264	1	0.889
Ddit4	0.917	1.33417835998088	0.834	1.92481250360578	1	0.222
Pnpla2	0.917	1.70320607188661	0.834	2.45720695352278	1	0.333
Ubfd1	0.917	1.29928298413026	0.834	1.87446911791614	1	0.556
Eif3f	0.917	0.634395455005533	0.834	0.91523917689898	1	1
E230029C05Rik	0.917	1.46857070831936	0.834	2.11869967808714	1	0.333
Efl1	0.917	1.14740245283754	0.834	1.65535182861255	1	0.444
Amn1	0.917	1.23992582173469	0.834	1.78883483408681	1	0.222
Clec4n	0.917	1.51067808080763	0.834	2.17944777556082	1	0.778
Pcbp1	0.917	0.770520677878452	0.834	1.11162636087765	1	1
Mob1a	0.917	0.678159762119328	0.834	0.978377725739994	1	0.889
Casd1	0.917	1.34314702996364	0.834	1.93775155931328	1	0.444
Idua	0.917	1.5958849460294	0.834	2.30237529746596	1	0.444
Pink1	0.917	1.46585618395608	0.834	2.11478344724985	1	0.333
Pias3	0.917	1.26768861871204	0.834	1.82888808360725	1	0.222
Setdb1	0.917	1.1599812350444	0.834	1.67349917532281	1	0.889
Prune1	0.917	1.39586381213604	0.834	2.01380579952503	1	0.667
Mef2d	0.917	0.914470895157169	0.834	1.31930262548054	1	0.778
Rnf13	0.917	0.890336993820739	0.834	1.28448476570517	1	0.778
Ctdspl2	0.917	1.15577070250806	0.834	1.66742466091313	1	0.778
Cul3	0.917	1.13835261731762	0.834	1.64229567578711	1	1
Ncoa2	0.917	0.90078654533819	0.834	1.29956028185891	1	1
Ptpn2	0.083	-1.01088931981753	0.834	-1.45840500858836	1	1
Diaph1	0.083	-1.3023087050468	0.834	-1.87883431047754	1	1
Ttc7	0.083	-2.21297293430436	0.834	-3.1926450779424	0.5	0.889
Abcf1	0.083	-1.0754944795528	0.834	-1.55161055215429	1	1
Arhgap31	0.083	-1.35948310366923	0.834	-1.96131953183594	0.75	1
Mark3	0.083	-0.924870599363682	0.834	-1.33430622716599	1	1
Pdia6	0.083	-0.786832664637269	0.834	-1.13515958328164	1	1
Atxn1	0.083	-2.26995986567797	0.834	-3.27485984123058	0.5	0.889
Mrps7	0.083	-1.55395876011387	0.834	-2.24188859696224	0.5	1
Nsf	0.083	-0.836535091807011	0.834	-1.20686502847957	1	1
Stat5a	0.083	-0.779232202689444	0.834	-1.12419443452104	1	1
Pde12	0.083	-2.103832994804	0.834	-3.0351894284623	0.5	0.889
Mt1	0.083	-1.43803518841318	0.834	-2.07464623494752	1	1
Eri1	0.083	-1.59739993387462	0.834	-2.30456096291727	1	1
Fyn	0.083	-1.59826461183598	0.834	-2.30580842952409	0.25	1
Gm5297	0.083	-1.08618976866955	0.834	-1.56704059272389	0.5	0.889
Szrd1	0.083	-0.948568390793505	0.834	-1.36849491334181	1	1
Rapgef1	0.083	-1.82261745758796	0.834	-2.6294811674998	0.5	1
Gm16374	0.903	0.810930216216329	0.806	1.16992500144231	1	0.222
Ifi27l2a	0.903	1.11168437023546	0.806	1.60382152797247	1	0.778
Cwc25	0.903	0.916290731874155	0.806	1.32192809488736	1	0.222
Alkbh5	0.903	0.557149695440229	0.806	0.803797102644415	1	1
Gas2l1	0.903	1.24379429851261	0.806	1.79441586635011	1	0.222
Zc3h13	0.903	1.08939563356319	0.806	1.5716656781077	1	0.889
Ngdn	0.903	1.34992671694902	0.806	1.94753258010586	1	0.444
Sarnp	0.903	0.587786664902119	0.806	0.84799690655495	1	1
Tnfrsf1a	0.903	1.06352096885684	0.806	1.53433642765119	1	0.556
Rps6ka1	0.903	2.02485335139543	0.806	2.92124588858559	1	0.667
Taf1	0.903	0.810930216216329	0.806	1.16992500144231	1	1
Acp2	0.903	1.12108514452017	0.806	1.61738397841353	1	0.222
Poglut2	0.903	1.7884645733312	0.806	2.58020897075052	1	0.222
Lypla1	0.903	0.779677672712225	0.806	1.12483711191377	1	0.778
Itga5	0.097	-1.75867031242094	0.806	-2.53722493828833	1	1
Dpp8	0.097	-1.42266200529077	0.806	-2.05246741989414	0.75	1
Ppan	0.097	-0.978717319808583	0.806	-1.41199062371998	1	1
Tbc1d17	0.097	-2.14275382109416	0.806	-3.09134031153843	0.75	0.889
Mfsd13a	0.889	0.879450162653085	0.778	1.2687783883686	1	0.778
Tkfc	0.889	1.1738357099057	0.778	1.69348695749933	1	0.222
Fth1	0.889	0.703966426665493	0.778	1.01560887270263	1	1
Cd14	0.889	2.69765149388131	0.778	3.89188843226927	1	0.889
Med20	0.889	1.52177697387568	0.778	2.19546009354945	1	0.444
Gbe1	0.889	1.37230811914515	0.778	1.97982211806237	1	0.667
Nfkbiz	0.889	1.07044141170141	0.778	1.54432051622381	1	0.333
Ccdc50	0.889	1.00494309747161	0.778	1.44982642309789	1	1
Parn	0.889	1.47298680970624	0.778	2.12507076565805	1	0.556
Eif4b	0.889	0.407714827842179	0.778	0.588208160224811	1	1
Rad21	0.889	0.846521161319031	0.778	1.22127188144253	1	1
Rictor	0.889	1.00412144524719	0.778	1.44864102950838	1	0.778
Traf3	0.889	1.88821973541562	0.778	2.72412524839278	1	0.778
Npc2	0.889	0.563268034948719	0.778	0.812624000711789	1	1
Srek1	0.889	0.869928556978285	0.778	1.25504161508026	1	0.889
Mrps36	0.889	0.810930216216329	0.778	1.16992500144231	1	0.222
Vcan	0.889	1.33669227762733	0.778	1.92843932012752	1	0.889
