p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Slc7a11	2.01135040634797e-93	1.56631674792376	1	1	4.24173687194723e-89
Sdc4	1.80386855880972e-91	-1.94423046138138	1	1	3.80417840367383e-87
Apoe	6.62060272410367e-91	3.14635653030391	0.75	0.444	1.39621890848622e-86
Cxcl3	1.33227629267263e-90	2.16188768237689	1	0.667	2.8096374736173e-86
Cxcl16	2.93703703618581e-90	1.38748085790014	1	0.889	6.19391740561225e-86
Cd52	1.47003948858058e-87	-1.33022911147448	1	1	3.10016627746759e-83
P4ha2	7.43135632601731e-86	2.7722069783635	1	0.222	1.56719873559379e-81
Npc2	1.08512832100869e-83	0.812624000711789	1	1	2.28842711617523e-79
Ccl24	2.0193975605068e-83	-2.09772603246185	0.5	1	4.2587075153528e-79
F13a1	2.01441911099283e-81	3.59760670997338	0.75	0.222	4.24820846317278e-77
Clu	1.66747856500083e-79	2.10553441417236	0.75	0.222	3.51654554573025e-75
Klk1b1	1.2677716990485e-78	2.13355261177735	0.5	0.778	2.67360373612339e-74
Pgd	4.41129884837418e-78	1.334831928118	1	1	9.30298814133631e-74
Lcp1	1.31159547923411e-75	0.876239513328994	1	1	2.76602370615681e-71
Slpi	9.74688150487423e-74	-4.88360680280307	0.5	0.556	2.05551984056293e-69
Car2	2.01603419642242e-73	1.39136734369214	0.75	0.889	4.25161451683525e-69
Plxdc2	1.06415172209243e-72	1.99758890590026	1	0.778	2.24418956672072e-68
Sh3bgrl	1.41438378564215e-72	1.12010230280374	1	1	2.98279396554073e-68
Tmem176b	1.42577212774906e-72	1.61049759282829	0.75	0.667	3.00681084020999e-68
Csf1	2.24084222576259e-72	-3.73507848462194	1	1	4.72571216991074e-68
B2m	3.62372264968585e-71	-0.533765388554416	1	1	7.64206869592248e-67
Acly	4.08534873527453e-70	1.45706227167531	1	1	8.61559194782046e-66
G6pdx	9.8047915343218e-70	2.21386834902991	1	1	2.06773248667312e-65
Btg1	2.36720851239465e-69	1.36173365359596	1	1	4.99220603178907e-65
Ogt	2.82380428058812e-68	1.70652448060207	1	1	5.95512084733228e-64
Gpnmb	6.52666964007749e-67	-2.89480071188828	0.5	0.778	1.37640936039594e-62
Cd200	9.95489969156646e-66	2.43462822763672	1	0.556	2.09938879595445e-61
Slc7a2	1.01545939424293e-65	-0.948616819849039	1	1	2.14150231651891e-61
H2-Eb1	4.30067676295582e-65	1.0241504270109	1	0.556	9.06969722539752e-61
Mxi1	1.04068892545959e-63	2.90053510056869	1	0.667	2.19470887490172e-59
Mt2	1.14566163409315e-62	-1.9871583982462	1	1	2.41608582013904e-58
Ccl5	1.68441795116649e-62	1.22239242133645	1	0.556	3.552269017215e-58
Slc41a1	3.06933276352621e-62	3.23132554610646	1	0.556	6.47291586500042e-58
Rnase2a	4.6787966944564e-62	2.25531649267296	0.75	0.444	9.86711434893909e-58
Ccl17	9.33623573157004e-61	0.553419208715916	1	0.889	1.96891875343081e-56
Cd9	2.28947167999024e-60	1.71333501271896	1	0.778	4.82826682593142e-56
Olr1	8.91175074416977e-60	-3.39126933334589	0.75	1	1.87939911443796e-55
Sod2	1.17744978714417e-58	0.964361663246734	1	1	2.48312385610833e-54
Ldha	3.09809761991318e-58	0.548852940964771	1	1	6.5335780706349e-54
Lpl	1.35710586187566e-57	0.933663914856021	1	1	2.86200055210958e-53
mt-Co1	1.31608029140028e-56	0.391671198785474	1	1	2.77548172653406e-52
Cyb5a	1.67869283954064e-56	1.1624011510605	1	1	3.54019532930726e-52
Capg	2.15556644601626e-55	-1.48619852820008	1	1	4.54587407800369e-51
Anxa2	7.98120378868681e-54	0.850577547205614	1	1	1.68315606699616e-49
Ndrg1	1.60746700831637e-53	1.33891591736097	1	1	3.38998717383839e-49
Ctnna1	4.00090945915875e-53	2.51882014392994	1	0.889	8.4375179584199e-49
Cd83	1.46514959509488e-52	-0.974823248992205	1	1	3.0898539810956e-48
Clec4e	3.37721023760241e-52	6.71363921589595	1	0.333	7.12219867007973e-48
Ccdc50	4.96129563946222e-52	1.44982642309789	1	1	1.04628763740619e-47
Tmem123	5.32735037273828e-52	0.827973538384297	1	1	1.12348492010678e-47
Inhba	5.58759283609135e-52	1.16785365142262	1	1	1.1783674532033e-47
Psap	6.47004733235105e-52	-0.445420555536352	1	1	1.36446828191951e-47
Grina	9.90317752315022e-52	1.57624528362005	1	0.889	2.08848110785715e-47
Cotl1	1.44137487223068e-51	-1.92168607239951	1	1	3.03971546804729e-47
Ptms	1.85214985679357e-51	-1.90116997334058	1	1	3.90599883299195e-47
Ifitm1	2.23152882956545e-51	4.3450117080004	1	0.556	4.70607114867057e-47
Pla2g7	2.34174450218605e-50	1.424242190175	1	0.778	4.93850498066016e-46
Clic4	5.79120042697267e-50	0.885114500399502	1	1	1.22130625804427e-45
Poglut1	1.18084128085521e-49	3.65412452522855	1	0.444	2.49027617719554e-45
Bhlhe40	1.93129642136498e-49	0.896181498205679	1	1	4.0729110230166e-45
Klf6	3.87979332560374e-49	1.62395663233702	1	1	8.18209614436572e-45
Cd81	2.00770774859271e-48	-0.992988102644627	1	1	4.23405487100716e-44
Traf3	3.94543580012384e-48	2.72412524839278	1	0.778	8.32052955888116e-44
Asap1	5.53827051849371e-48	1.50521147918469	1	0.889	1.16796586964514e-43
Idh1	5.78649423637757e-48	1.69177745830883	0.75	1	1.22031376950967e-43
Tnfrsf9	1.93817822398053e-47	-0.453868916059685	1	1	4.08742405655254e-43
Arhgap45	2.57989704881814e-47	2.82753280399523	1	0.778	5.44074488625257e-43
Chil4	1.25078690248048e-46	-1.54612903451454	0.75	0.778	2.63778449864109e-42
Ctsz	1.26261747360531e-46	-0.412452795617845	1	1	2.66273399008624e-42
Aqp9	5.97625464080376e-46	1.7975539669662	1	0.667	1.26033234119911e-41
Relt	7.53939534224785e-46	2.19229281447077	1	0.889	1.58998308372665e-41
Slc1a5	9.0893807093071e-46	0.761757491530513	1	1	1.91685949778577e-41
Plek	1.39933642745697e-45	-1.35410850063651	1	1	2.951060591864e-41
Scd1	2.36360442923199e-45	-1.57266514191777	1	1	4.98460538080734e-41
Tapbp	9.86419823128136e-45	-1.49483821049196	1	1	2.08026076499493e-40
Ctsd	1.86512192247475e-44	-0.793960596141169	1	1	3.933355622307e-40
Pfkl	2.33879066390882e-44	-0.908829109972099	1	1	4.93227563111731e-40
Slc2a6	2.8914443781355e-44	2.15305118287792	1	0.667	6.09776704904995e-40
Il12rb2	3.00018713487965e-44	-2.53377504586237	1	1	6.3270946487477e-40
Icam1	2.41385665944071e-43	1.63876894441695	1	0.667	5.09058230909452e-39
Saa3	3.18267588101287e-43	6.01024012227432	0.75	0.111	6.71194516546805e-39
Itga5	4.08673310065598e-43	-2.53722493828833	1	1	8.6185114359734e-39
Arrdc1	4.28064169621758e-43	2.71366483943696	1	0.556	9.02744527315326e-39
Maea	7.69781744071758e-43	-2.95247162991741	1	1	1.62339272007293e-38
Ttc39c	9.30758077087076e-43	2.49854774890368	1	0.667	1.96287570876893e-38
Txnrd1	6.22470155352146e-42	0.988657313492068	1	1	1.31272731062214e-37
Ptprc	1.90520213737696e-41	1.96091647729103	1	0.889	4.01788078751427e-37
Ghitm	3.27508869409909e-41	0.938123666055144	1	1	6.90683454698557e-37
Anxa3	6.17259544845872e-41	1.32847094075413	1	0.889	1.30173865412546e-36
Acot7	9.92159316347325e-41	-2.13897641314881	1	1	2.09236478224487e-36
AW112010	1.08851423288017e-40	1.74761950169943	1	0.778	2.29556766572099e-36
Ncl	1.2335717023664e-40	-0.775054318651325	1	1	2.60147936312051e-36
Tspoap1	1.57229984748854e-40	-2.61775243583883	0.75	0.889	3.31582314836858e-36
Nr4a3	1.72690518197494e-40	1.27612440527424	1	0.889	3.64187033826696e-36
Serpina3g	2.66590531600023e-40	-4.80480823994726	0.25	0.778	5.62212772091288e-36
Ciita	3.71645836348196e-40	3.42368159368809	0.75	0.444	7.83763904274711e-36
Klk1b11	4.80118268509775e-40	1.35278905859212	0.75	0.778	1.01252141646026e-35
Gm2a	1.36273909387291e-39	0.613387929562469	1	1	2.87388047506857e-35
Ahnak	3.24606861331205e-39	2.16346997930501	1	0.889	6.84563409861379e-35
Rac2	3.60323084476422e-39	1.02790599656988	1	0.889	7.59885352852327e-35
Adm	3.92808688312592e-39	-1.91439128449116	0.75	1	8.28394242782425e-35
Gpr155	4.33503702443268e-39	2.34863088842683	1	0.444	9.14215958082607e-35
St6gal1	4.67821529533712e-39	2.30742852519225	0.75	0.333	9.86588823633645e-35
Slamf9	6.89965790250729e-39	3.33181268381921	0.75	0.333	1.45506885505976e-34
Plod2	7.89018048622495e-39	3.21939367770661	0.75	0.222	1.66396016273998e-34
Ctsl	8.48358231817302e-39	-1.33111770315495	1	1	1.78910267507951e-34
Tnfaip2	1.17091977076987e-38	2.70130646195862	1	0.667	2.46935270457657e-34
Tuba1b	1.71170788431002e-38	-0.96175976505411	1	1	3.6098207572214e-34
Nfkb2	1.96192814910531e-38	1.1479406516068	1	1	4.13751027364819e-34
Tmem37	3.79809648399786e-38	2.77913504841015	0.75	0.556	8.00980567510308e-34
Tarm1	4.94073769161766e-38	1.006265514238	1	1	1.04195217178525e-33
Eif3f	6.58349978435861e-38	0.91523917689898	1	1	1.38839426952339e-33
Samsn1	9.20484827335081e-38	1.25738784269265	1	1	1.94121045236695e-33
