p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Pilrb2	2.40355999805384e-06	1.49185309632967	0.25	0.444	0.0506886767989574
Arid4a	2.63014108967065e-06	-1.08641475181747	0.75	0.889	0.0554670454400642
Ubxn7	2.6313059501132e-06	-2.38807045167857	0.5	0.333	0.0554916111819374
Mrps6	2.74209227769421e-06	-0.92283213947754	1	0.889	0.0578279840442932
Dym	2.87747735269698e-06	-1.34464817138745	0.75	0.778	0.0606831198910267
4930579G24Rik	2.95537922594637e-06	-2.3743955147815	0.75	0.556	0.0623259924959831
Maea	3.07399459505329e-06	-2.95247162991741	1	1	0.0648274720150789
Sesn1	3.13817447926937e-06	-2.22239242133645	0.5	0.556	0.0661809615933118
Marchf5	3.23103521653447e-06	-0.808444982586145	1	0.889	0.0681393016814955
Ly86	3.24926956007383e-06	0.840077243258712	0.5	0.556	0.0685238457523969
Fdxr	3.32191499080102e-06	-2.36058971525647	0.25	0.444	0.0700558652410027
Nln	3.52365571714188e-06	1.16992500144231	0.75	0.556	0.074310375418805
Pole	3.77074519783754e-06	-1.78116539807674	0.5	0.556	0.0795212454771958
Abcf1	3.94210636842661e-06	-1.55161055215429	1	1	0.0831350812037487
Snupn	3.95330393303546e-06	-1.51457317282976	0.5	0.556	0.0833712266437849
Prkab1	3.99069446578738e-06	1.19592020997526	0.5	0.444	0.08415975558899
Mgat1	4.14373075251645e-06	-0.711812116937868	1	0.778	0.0873871378398193
Emc1	4.45483352511111e-06	-1.89781960519352	0.5	0.667	0.0939479842110683
Spint1	4.49333220264883e-06	0.505028485077408	1	0.889	0.0947598828216611
Mgll	4.59316150850112e-06	-0.849703805306619	0.5	0.667	0.0968651830527801
Gmpr	4.79843853245775e-06	-2.50250034052918	0.75	0.444	0.101194270211002
Ap1b1	5.01377816676281e-06	0.766569307211103	1	0.667	0.105735567758861
Rnd3	5.15996365738957e-06	-1.88452278258006	0.25	0.333	0.108818473570689
Atg2a	5.17981726514796e-06	-1.33257533908687	0.5	0.556	0.109237166304705
Ezh1	5.62487605137059e-06	0.85085656069419	1	0.667	0.118623011047354
Pcnx	5.62772802497851e-06	2.83977639974998	1	0.222	0.118683156318772
Rhbdd3	5.6833974357215e-06	-1.45810622117073	0.5	0.667	0.119857168521931
Adprh	5.86816037618848e-06	-1.80181673851617	1	1	0.123753634173439
Dut	5.89350798245556e-06	-0.531083714947484	1	0.778	0.124288189842005
Tubgcp6	5.9785734119662e-06	-2.15200309344505	0.5	0.556	0.126082134684955
Stxbp1	6.26103829559891e-06	-1.14418358898575	0.75	0.667	0.132039036615885
1700017B05Rik	6.47116521798319e-06	-3.48407914370849	0.5	1	0.136470403282047
Slc38a9	6.57080187290408e-06	-1.27587475160722	0.5	0.667	0.138571640697674
Acvr1b	6.75782705793082e-06	1.26303440583379	0.5	0.333	0.142515814824703
Dtx2	6.81483085692462e-06	-2.13750352374993	0.25	0.556	0.143717967941683
Arc	6.87731705882741e-06	-1.79090440127701	0.25	0.333	0.145035739453611
Plekhf1	7.11871680320438e-06	-1.67556504950206	0.25	0.444	0.150126618662777
Ranbp2	7.18516540787686e-06	-3.05675477829723	0.75	1	0.151527953286715
Wdr24	7.30041786809776e-06	-1.38466385023533	0.5	0.444	0.153958512420314
Rab3d	7.53989244926036e-06	1.08111573448446	0.5	0.444	0.159008791862452
Mid1ip1	7.68165889158534e-06	-1.26671475232174	0.75	0.667	0.161998504364643
Dhx29	7.7553323236417e-06	-2.01449956969511	1	0.556	0.16355220337328
Fabp4	7.82027602239288e-06	-0.606841600781869	0.5	0.667	0.164921801036243
Kxd1	7.95223489592432e-06	0.673620120541552	1	0.667	0.167704681720148
Dcaf4	7.96445920693937e-06	1.26508223448265	0.5	0.444	0.167962480215144
Ulk3	8.66890109274142e-06	1.23004599387988	0.75	0.333	0.182818455144824
Tgfbr3	9.31687586615499e-06	-1.76418706290123	0.25	0.444	0.196483595141343
Ndufa6	9.63013813839921e-06	-2.55170004658941	1	1	0.203089983200701
Hfe	9.68729921883818e-06	-4.57538917401435	0.5	1	0.204295453226078
Sqstm1	9.90555060443604e-06	2.41325399792855	1	1	0.208898156696952
Cad	1.00388971802376e-05	-3.4432343911095	0.5	1	0.211710302634031
Tapt1	1.02470453887266e-05	-1.44898483120218	0.5	0.556	0.216099940202855
Nle1	1.02925972942358e-05	-1.17799830197799	1	0.556	0.217060584338138
Sting1	1.03236305979235e-05	3.65930984218124	0.75	0.333	0.217715045679609
Nceh1	1.04135673925074e-05	-4.12285674778553	0.25	0.444	0.219611722740588
Slc38a6	1.06295502392805e-05	2.6724253419715	1	0.111	0.224166584996187
Dennd1a	1.11456942348183e-05	-2.63742992061529	0.25	0.444	0.235051545718083
Tmem161a	1.11904085820578e-05	-1.12775554719837	0.5	0.444	0.235994526587016
Atp6v0d2	1.11945643128742e-05	-1.12775554719837	0.5	0.444	0.236082166794204
Yipf3	1.14031607224579e-05	0.860596943334584	1	0.556	0.240481256475915
2310022A10Rik	1.15877816717509e-05	-2.07800251200127	0.5	0.556	0.244374727675554
Cptp	1.2021955590604e-05	-0.967578522307622	0.5	0.667	0.253531021450248
Wdfy2	1.29247000293642e-05	0.967432137543569	0.75	0.556	0.272568998919263
Ppp1r12b	1.35974212436903e-05	0.70847703720651	0.75	0.667	0.286756016608184
Helz2	1.37467133039727e-05	4.8703647195834	0.75	0.333	0.289904436867479
Trim37	1.38050844474983e-05	-1.57550217147209	0.75	0.556	0.291135425913291
Haao	1.4255091013652e-05	-2.18371195317239	0.25	0.556	0.300625614386907
Cep85l	1.4403001859645e-05	-1.53051471669878	0.75	0.667	0.303744906218053
Dcps	1.46519719143131e-05	-1.78784676316839	0.5	0.444	0.30899543570095
Haus7	1.50617235799232e-05	-1.48903808072262	0.5	0.556	0.317636688577
Hspbp1	1.64672861512007e-05	-0.791080866941824	0.75	0.889	0.347278597642671
Rgmb	1.68305130123412e-05	-1.30515988150647	0.75	0.778	0.354938688917264
Tmem268	1.84719853906772e-05	-0.939009370110851	0.75	0.778	0.389555699903991
Chaf1b	1.90789792652104e-05	-1.04730571477836	0.75	0.556	0.402356593724022
Tgm2	1.99756850915989e-05	-2.83832630912545	1	1	0.42126722289673
Uimc1	2.01765329596217e-05	-1	0.75	0.889	0.425502903585463
Sestd1	2.05202837831361e-05	-1.26918663281539	0.75	0.778	0.432752264702557
Ankrd27	2.05933684283479e-05	1.01792190799726	1	0.444	0.434293546785428
Cd14	2.12082072893601e-05	3.89188843226927	1	0.889	0.447259883525315
Ptma	2.19420907495293e-05	-0.932788685006266	1	1	0.462736751816822
Msh3	2.27281346750643e-05	-1.3919538861658	0.75	0.444	0.479313632162432
Tamm41	2.28748485320892e-05	-2	0.25	0.556	0.482407680693229
Gpalpp1	2.3135851915224e-05	-0.819268243601106	0.75	0.889	0.487911981040158
Mavs	2.35118237619849e-05	0.900738368626924	0.25	0.444	0.4958408513165
Shld1	2.37284260156638e-05	-2.11958161575267	0.25	0.333	0.500408776244335
Plekhg1	2.39870209226329e-05	1.60288440871842	0.25	0.333	0.505862284237404
Ucp2	2.43127786367945e-05	-1.23974554071576	1	1	0.51273218867136
Strip2	2.45359157268582e-05	3.00180224263399	1	0.556	0.517437926763712
Klf3	2.51105840554499e-05	-1.14295795384204	0.5	0.778	0.529557107145383
Slamf7	2.63248001778462e-05	0.828888083607246	0.5	0.556	0.555163710950599
Tanc2	2.67911348814253e-05	-3.83906378178494	0.25	0.333	0.564998243514379
Alad	2.72195161160656e-05	-0.835788649752081	0.75	0.667	0.574032375371707
Gnb4	2.78737820285311e-05	3.37637587890974	0.75	0.333	0.587830189199692
Gtf3c5	2.81880210595459e-05	-1.60968493013239	0.5	0.444	0.594457176124763
Nit1	2.90725240065373e-05	0.941656013769195	0.75	0.556	0.613110458773866
Nek1	2.9880307854212e-05	-1.40296466697827	0.5	0.556	0.630145812337477
Coq6	3.13750765279047e-05	-1.78427130894456	0.75	0.444	0.661668988896981
Tpgs2	3.19430059649469e-05	-1.46750491917298	0.5	0.444	0.673646052794765
Ufl1	3.29991692919845e-05	-1.59560974492066	0.25	0.556	0.695919481198661
Btg1	3.30163652191979e-05	1.36173365359596	1	1	0.696282126107664
Gm6522	3.35331487663737e-05	-0.307040246979733	0.75	0.778	0.707180574334055
Rab22a	3.41643961529214e-05	-1.30651304250067	0.75	0.556	0.720492950468959
Pacc1	3.4531596990406e-05	-2.83007499855769	0.5	0.444	0.728236848930672
Atxn1	3.45953090381776e-05	-3.27485984123058	0.5	0.889	0.729580472306128
Hp	3.51152509809063e-05	-3.75607441711391	0.25	0.333	0.740545527936333
Tmem222	3.58074216295593e-05	-1.09134031153843	0.5	0.667	0.755142714745776
Tmem86a	3.58791875709865e-05	4.29094040240368	0.75	0.111	0.756656186684535
Rassf7	3.60003058119678e-05	-2.22239242133645	0.25	0.333	0.759210449268589
Gins2	3.69798595889924e-05	-0.875263772323943	1	0.778	0.77986825887226
Prkar2b	3.76321564117311e-05	2.48186900775705	1	0.778	0.793624546566997
Pcx	3.77730809556482e-05	3.99774402605963	0.75	0.111	0.796596504273665
Ifitm1	3.81418013065311e-05	4.3450117080004	1	0.556	0.804372447753434
Acadm	4.15380121288897e-05	3.1548181090521	1	0.444	0.875995137786156
Dph7	4.19260746721195e-05	1.08746284125034	0.75	0.333	0.884178988760327
Tbc1d7	4.23075933259872e-05	1.06495544184077	0.5	0.333	0.892224835651744
Gins4	4.25710929968164e-05	-0.907317997490148	1	0.889	0.897781780209861
AU040320	4.27194470074443e-05	-1.68422413209423	0.25	0.444	0.900910417939994
Slc27a4	4.27817028907794e-05	0.947532580105864	0.75	0.333	0.902223332263648
Ctsc	4.53563944695392e-05	1.69963239017325	1	1	0.956521002968113
Rinl	4.60859867197704e-05	-1.40232644752929	0.25	0.556	0.971907373933237
Abhd13	4.88610144483442e-05	1.00553818354143	0.75	0.333	1
Slc12a9	4.98838063592765e-05	-1.66879409152463	0.75	0.444	1
Itsn1	5.25282307195186e-05	-2.88896868761126	1	1	1
Thap11	5.33327918541597e-05	-0.991962680934582	0.75	0.778	1
Acaa2	5.4659454788214e-05	0.791413378188583	1	0.444	1
Hsd17b7	5.7059112696058e-05	0.758610588206186	1	0.667	1
Rufy2	5.73642666828491e-05	2.90689059560852	1	0.333	1
Tmem35b	5.87482799405809e-05	1.20645087746743	0.5	0.556	1
Diaph2	5.89264568756369e-05	-2.98657948423768	0.25	1	1
Zfp948	5.97550893914173e-05	1.03986446087794	0.75	0.667	1
Ncf1	6.29226051254106e-05	2.84235034341381	1	0.333	1
Adck5	6.37080009217711e-05	-1.17321957935475	0.5	0.444	1
Prnp	6.53972309355213e-05	-1.0554951125917	0.5	0.444	1
Plcd1	6.85566625731613e-05	1.46538088496848	0.25	0.333	1
Tmem68	6.89725972215685e-05	1.10852445677817	0.75	0.556	1
Guf1	6.91202232126315e-05	1	1	0.556	1
Ankmy2	6.94013733478892e-05	1.20739970686098	0.5	0.333	1
Hltf	6.99719971638478e-05	1.60602411624899	0.25	0.333	1
Casz1	7.23293795587685e-05	-3.53051471669878	0.25	0.444	1
Gga2	7.25297299554787e-05	-0.764979970335803	1	0.889	1
Esr1	7.26834426531809e-05	3.10281080558378	0.75	0.222	1
Ssr3	7.52266457856996e-05	1.19647842048363	1	1	1
Slc35f6	7.67692316736136e-05	-1.14166114922359	0.5	0.778	1
Tmc6	7.76240947105677e-05	-3.50814690367033	0.25	0.444	1
Ttc7	7.83582473045371e-05	-3.1926450779424	0.5	0.889	1
Fscn1	8.01564686743157e-05	4.71424551766612	0.75	0.222	1
Gm28875	8.09819676504621e-05	-2.30812229536233	0.25	0.444	1
Atp2a3	8.09842701962795e-05	-2.30812229536233	0.25	0.333	1
Atg13	8.10454492224237e-05	0.921997487998727	0.5	0.444	1
2700097O09Rik	8.61059426140208e-05	-2.63742992061529	0.25	0.444	1
Ldlrad3	9.12905945463719e-05	-1.74568281126732	0.25	0.444	1
Nt5c3	9.20634511873186e-05	-1.11164535582891	0.75	0.667	1
Akr7a5	9.32239429180227e-05	-1.60536871138299	0.25	0.556	1
