orig.ident,nCount_RNA,nFeature_RNA,nUMI,mouse_nUMI,toxo_nUMI,nGene,mouse_nGene,toxo_nGene,cell_ID,mouse_nUMI_p,toxo_nUMI_p,mouse_nGene_p,toxo_nGene_p,well,cell_class,percent.mt,percent.mature,percent.immature,nCount_SCT,nFeature_SCT,SCT_snn_res.0.8,seurat_clusters,cluster_and_cell_class,matureDC1,matureDC2,matureDC3,matureDC4,toxoclusters,Gra15_expression,Rop16_expression,celltype,cell_class_type,cluster_type,snn_ica_res.0.8,barcode,UMAP_1,UMAP_2
132,243311.778922395,6321,234351.200351881,233996.536340881,354.664011,5229,5184,45,337,0.998486613209288,0.00151338679071184,0.991394148020654,0.00860585197934595,132_C23,PTG_Lys3h,3.38786658833691,0.593533858774329,0,248680,6301,0,0,0_PTG_Lys3h,3.2164466471219,3.09076169549259,2.59766371778043,2.54344539786344,NA,NA,NA,GM-DC,PTG_Lys3h_GM-DC,0_GM-DC,2,132_C23,-2.51274474818101,-1.59207394402151
132,501410.858181559,2774,496349.079161411,494657.266102411,1691.813059,2335,2271,64,338,0.99659148544839,0.00340851455161022,0.972591006423983,0.0274089935760171,132_C24,PTG_Lys3h,0.0474787578121808,0,0,252015,2759,1,1,1_PTG_Lys3h,-3.47933355451642,3.12926195815184,-0.775079403417059,-3.23079262816772,NA,NA,NA,GM-Mac,PTG_Lys3h_GM-Mac,1_GM-Mac,0,132_C24,1.03805831711898,1.37240851242419
132,298850.05699078,5265,290144.107997385,290092.047665785,52.0603316,4262,4259,3,339,0.999820570777882,0.000179429222117684,0.999296105114969,0.000703894885030502,132_C4,LPS,3.2429111288739,0,0,249356,5251,8,8,8_LPS,-3.7036267237918,-3.74298067772361,-1.50827796073745,0.277916940520084,NA,NA,NA,GM-Mac,LPS_GM-Mac,8_GM-Mac,10,132_C4,-2.49627026278367,2.65472433287974
132,264236.18689747,5480,254200.860365381,254134.556879381,66.303486,4353,4345,8,340,0.999739168915854,0.000260831084146204,0.998162186997473,0.00183781300252699,132_C6,LPS,2.48098222259912,1.07159216014015,0,248882,5463,7,7,7_LPS,3.92158212071728,4.32250717777287,3.47210015978263,1.90100925023913,NA,NA,NA,GM-DC,LPS_GM-DC,7_GM-DC,7,132_C6,-2.85501214224687,1.30100646932002
132,257043.393368254,4976,277962.38398676,245957.28221876,32005.101768,5146,4237,909,341,0.884858154873487,0.115141845126513,0.823357947920715,0.176642052079285,132_C8,PTG_3h,3.95050230894365,1.23057724820868,0,248420,4965,0,0,0_PTG_3h,4.36585126315555,2.70384038428405,3.11031549195566,1.46915461745262,toxo_1,Gra15-,Rop16-,GM-DC,PTG_3h_GM-DC,0_GM-DC,2,132_C8,-2.75141235548845,-1.70722868721609
132,160562.286994297,2498,264565.133643679,158895.443071079,105669.6905726,3216,1968,1248,342,0.600591018486518,0.399408981513481,0.611940298507463,0.388059701492537,132_C9,PTG_3h,0.234361196171406,0,0,245806,2513,1,1,1_PTG_3h,-3.14531326589379,-2.49317414977742,-1.20547069499104,-3.14637270097671,toxo_1,Gra15-,Rop16-,GM-Mac,PTG_3h_GM-Mac,1_GM-Mac,4,132_C9,1.43854025643477,1.31274578292246
132,130326.49890021,963,1442389.98200282,128970.494628823,1313419.487374,4056,870,3186,343,0.0894144414742412,0.910585558525759,0.214497041420118,0.785502958579882,132_D10,PTG_3h,0.0158849935927854,0.358562153498945,0,244588,1356,0,0,0_PTG_3h,4.69519735633978,3.83739137183471,-0.722800933157824,0.845806903630177,toxo_0,Gra15+,Rop16+,GM-DC,PTG_3h_GM-DC,0_GM-DC,0,132_D10,-2.23478373247972,-1.30974080841665
132,100030.231323131,5411,117855.809599391,96822.7844309909,21033.0251684,5379,4031,1348,344,0.82153594939533,0.178464050604669,0.749395798475553,0.250604201524447,132_D11,PTG_3h,3.31236769461895,0.000821429451531555,0,243478,5497,1,1,1_PTG_3h,-2.80303940416164,-2.09048794565489,-1.93870087417578,-3.3360132993877,toxo_2,Gra15-,Rop16+,GM-Mac,PTG_3h_GM-Mac,1_GM-Mac,4,132_D11,3.05383423607955,0.812401119064051
132,83497.6594445758,6311,95503.5800146318,80365.3291398318,15138.2508748,5367,4214,1153,345,0.84149022609958,0.158509773900421,0.78516862306689,0.21483137693311,132_D12,PTG_3h,4.10281894760649,0.000412235138923242,0,242580,6468,5,5,5_PTG_3h,-3.43556190114949,-2.95396685629763,-0.375774295216347,-0.607789033872039,toxo_1,Gra15-,Rop16-,GM-Mac,PTG_3h_GM-Mac,5_GM-Mac,0,132_D12,2.99880746644148,0.183285984586435
132,427146.814879581,6353,497017.262888766,413507.007557767,83510.255331,6565,5174,1391,346,0.831977153377689,0.168022846622311,0.788118811881188,0.211881188118812,132_D13,PTG_12h,3.21803981749814,0.443056449710294,0,250081,6336,6,6,6_PTG_12h,3.21782755212537,4.52593334052115,3.98384834078369,1.66374284660425,toxo_2,Gra15-,Rop16+,GM-DC,PTG_12h_GM-DC,6_GM-DC,8,132_D13,-1.25485631186357,-0.77800181191091
132,314412.782750954,6028,345093.67224492,303384.54435492,41709.12789,6482,4978,1504,347,0.879136793153373,0.120863206846627,0.767972847886455,0.232027152113545,132_D14,PTG_12h,3.80027576819751,0.45937929537727,0,248814,5999,6,6,6_PTG_12h,3.14973228031336,5.268655761468,4.29361198779386,1.66261989356777,toxo_0,Gra15+,Rop16-,GM-DC,PTG_12h_GM-DC,6_GM-DC,1,132_D14,-1.16545911986223,-0.776234653402609
132,39676.2363382331,6261,46692.2846228641,37907.7355463641,8784.5490765,4178,3210,968,348,0.811862941651855,0.188137058348145,0.768310196266156,0.231689803733844,132_D15,PTG_12h,4.61077673321841,0.00126672071341711,0,236832,7811,3,3,3_PTG_12h,-2.66762645503316,-2.33742444853712,-1.7193780233018,-2.45384185972536,toxo_0,Gra15-,Rop16+,GM-Mac,PTG_12h_GM-Mac,3_GM-Mac,3,132_D15,1.50803760331282,-1.5969465045226
132,123733.320376239,7249,140898.91673534,119865.40720934,21033.509526,7059,5427,1632,349,0.850719153749715,0.149280846250285,0.768805779855504,0.231194220144496,132_D16,PTG_12h,2.95525590752854,0.000408621922566146,0,244725,7242,3,3,3_PTG_12h,-3.40881587522731,-0.819699221279826,-2.31683185005096,-3.2102223058499,toxo_0,Gra15-,Rop16-,GM-Mac,PTG_12h_GM-Mac,3_GM-Mac,3,132_D16,1.42987874787459,-1.80765035431508
132,376540.341484768,5981,383342.543449812,362717.083094812,20625.460355,5727,5033,694,350,0.946195743969909,0.0538042560300911,0.878819626331413,0.121180373668587,132_D17,PTG_12h,4.00964531621395,1.17559029597826,0,249917,5967,0,0,0_PTG_12h,4.06728268371088,4.07498361679197,-0.559158875169587,2.63224118755283,toxo_1,Gra15-,Rop16-,GM-DC,PTG_12h_GM-DC,0_GM-DC,5,132_D17,-2.11374231535783,-1.271878984381
132,387621.2946935,6296,379175.192232026,378378.626761026,796.565471,5446,5330,116,351,0.997899215224733,0.00210078477526706,0.978699963275799,0.0213000367242012,132_D19,PTG_Lys3h,3.32102459210322,0.0360194505032718,0,249865,6284,2,2,2_PTG_Lys3h,0.390760118842346,3.05066473381453,0.37187488209827,1.90214241084022,NA,NA,NA,GM-DC,PTG_Lys3h_GM-DC,2_GM-DC,9,132_D19,0.113332844191882,1.27755153496142
132,386512.689345051,6582,375171.980512083,374876.937723083,295.042789,5654,5614,40,353,0.999213579893154,0.000786420106846165,0.992925362575168,0.00707463742483198,132_D20,PTG_Lys3h,3.76833825732364,0.000399530152540612,0,250294,6566,1,1,1_PTG_Lys3h,-3.4113426168238,-4.11700241974332,-1.99018068739953,-4.01035770539836,NA,NA,NA,GM-Mac,PTG_Lys3h_GM-Mac,1_GM-Mac,1,132_D20,1.57864550393233,1.37796783764239
132,267344.514430875,4841,257207.295257136,256957.523563836,249.7716933,3935,3913,22,354,0.999028908985453,0.000971091014546448,0.99440914866582,0.00559085133418043,132_D22,PTG_Lys3h,2.83163834482093,0.868845011076668,0,248721,4817,0,0,0_PTG_Lys3h,4.02127163435346,2.36717073722796,3.62105021191566,2.36044683943765,NA,NA,NA,GM-DC,PTG_Lys3h_GM-DC,0_GM-DC,8,132_D22,-3.41116424757829,-1.35776069443349
132,85025.7647181318,4545,80940.2181698516,80919.9542362516,20.2639336,3099,3099,0,355,0.999749643205094,0.000250356794906044,1,0,132_D4,LPS,4.12663143252126,0.000824483873095442,0,242576,4889,8,8,8_LPS,-2.63168840135801,-2.52181445026303,-1.4387291411151,0.0373459133368259,NA,NA,NA,GM-Mac,LPS_GM-Mac,8_GM-Mac,10,132_D4,-2.46320530135026,2.63178071696635
132,195793.668318857,6072,190518.59364578,190474.88867438,43.7049714,4601,4600,1,356,0.999770599968414,0.000229400031585674,0.99978265594436,0.000217344055640078,132_D5,LPS,2.4463095752411,0.663990242089873,0,247594,6048,7,7,7_LPS,3.4137824096192,4.42110368915847,2.82319447732479,0.0598262624382873,NA,NA,NA,GM-DC,LPS_GM-DC,7_GM-DC,7,132_D5,-2.73794432837358,1.39468229133959
132,143322.324764988,7507,138907.972543048,138863.565583448,44.4069596,5676,5668,8,357,0.9996803138165,0.000319686183499929,0.998590556730092,0.00140944326990839,132_D6,LPS,3.18242178975194,0.402142589668029,0,245684,7478,8,8,8_LPS,2.79190724926586,3.55089213670165,2.69737656450585,-0.839323539678161,NA,NA,NA,GM-DC,LPS_GM-DC,8_GM-DC,10,132_D6,-2.42356451708665,2.47511074263926
132,133712.608635923,5448,146218.812318063,129970.883926563,16247.9283915,5207,4269,938,358,0.888879357355491,0.111120642644509,0.819857883618206,0.180142116381794,132_D7,PTG_3h,3.40813530413443,0.00081535808488693,0,245291,5448,1,1,1_PTG_3h,-2.92889262364883,-3.30995870193528,-1.90284920847427,-3.5001755824294,toxo_1,Gra15-,Rop16-,GM-Mac,PTG_3h_GM-Mac,1_GM-Mac,4,132_D7,2.84371451180586,0.627975854467112
132,81737.8880102726,6854,101598.83973421,77991.50112141,23607.3386128,6558,4631,1927,359,0.767641651473988,0.232358348526012,0.706160414760598,0.293839585239402,132_D8,PTG_3h,4.57052522048342,0.000410675931515682,0,243501,6999,1,1,1_PTG_3h,-3.30363372895083,-2.87732409696603,-2.31498184182821,-2.15740127061214,toxo_2,Gra15-,Rop16+,GM-Mac,PTG_3h_GM-Mac,1_GM-Mac,1,132_D8,2.42747620385298,0.457648220847803
132,107087.728735737,6027,143000.720580357,102868.486256357,40132.234324,6543,4440,2103,361,0.719356418896867,0.280643581103133,0.678587803759743,0.321412196240257,132_E10,PTG_3h,4.50958076318639,0.000411260307211449,0,243155,6078,5,5,5_PTG_3h,-3.17072579779547,-2.78633853156357,-2.01125372735161,-0.391747352946914,toxo_1,Gra15+,Rop16+,GM-Mac,PTG_3h_GM-Mac,5_GM-Mac,4,132_E10,3.16094998162398,0.138880822251993
132,42470.4522996014,5475,61001.4551142367,40672.1704994367,20329.2846148,4516,3072,1444,362,0.666740988772652,0.333259011227348,0.680248007085917,0.319751992914083,132_E11,PTG_3h,3.98825274040206,0.00208463623097769,0,239850,7237,5,5,5_PTG_3h,-2.10663494941895,-1.98717743257731,-1.62411132410968,-2.64423099971586,toxo_1,Gra15+,Rop16-,GM-Mac,PTG_3h_GM-Mac,5_GM-Mac,1,132_E11,2.87328580659041,0.0572308035599766
